Kurs,Q1,Q2,Q3
Kommunikatörsprogrammet,H,"Globala studier, Utvecklingsstudier","Bra komplement till kandidat, vill jobba inom myndigheter/organisationer"
Kommunikatörsprogrammet,C,ja,"Matchade jobberfarenhet, intresse för kommunikation"
Kommunikatörsprogrammet,H,Socionomprogrammet,"Möjlighet att lyfta sociala frågor men inte direkt med klienterna, få användning av kunskaper inom Adobe"
Kommunikatörsprogrammet,I,"Grundlärare F-3, Högskolan Borås",Letade efter kommunikatörsutbildningar och utbildningen verkade seriös och med bra chanser till jobb
Kommunikatörsprogrammet,"F, H","Engelska, Socialantropologi, Kulturvetenskap, Genusvetenskap","Kändes som en bra ventil för mina tidigare studier, Gillar att jobba med varierande uppgifter och att vara som en mellanhand"
Kommunikatörsprogrammet,"J, Studievägledare","MEK (kandidatprogram), Litteraturvetenskap, Mittuniversitetet",Är intresserad av skrivande och utformning av text
Kommunikatörsprogrammet,C,"Biomedicin, Folkhälsovetenskap, Lund",Bra inriktning för att bygtga på de erfarenheter jag redan hade från jobb/utbildning
Kommunikatörsprogrammet,"C, I","Svenska/Engelska, Juridik, Översättarprogrammet, Lund","Inriktningen mot offentlig förvaltning/myndighet, arbetslivsförankringen, att man kunde söka med allmän bakgrund"
Kommunikatörsprogrammet,C,"Statsvetenskap, juridik, tyska",Bredden och yrkespotentialen
Kommunikatörsprogrammet,"J, Humanistens information om studier på avancerad nivå","Kulturvetenskap, GU","Kommunikation är relevant kompetens att ha idag, är intresserad av arbete I offentlig förvaltning"
Kommunikatörsprogrammet,I,"Nordiska språk, GU","Kändes som en bra påbyggnad till min kandidat, Bra att man kan välja magister eller master"
Kommunikatörsprogrammet,I,"Kultur/Samhälle/Mediegestaltning, Linköpings universitet","Vill bygga på min kandidat delvis föär att min kandidat inte leder till jobb (direkt), gillar att studiera, Jag är intresserad av kommunikation och hur det fungerar I praktiken"
Kommunikatörsprogrammet,"G, I",Litteraturvetenskap,"Mitt intresse av språk och textuell kommunikation, förhoppningar att få ett arbete efter utbildningen"
Kommunikatörsprogrammet,"J, Studievägledare","Kultur med inriktning mot kulturanalys, GU","Bred utbildning, bra kombo med tidigare utbildning"
Kommunikatörsprogrammet,F,"Kultur med inriktning mot kulturanalys, GU","Bra utbildning, gillar språket, kul med högre utbildning"
Kommunikatörsprogrammet,H,ja,"Att jag kunde kombinera mina jounalistikstudier med kommunikation, så att jag kan jobba som kommunikatör I framtiden, inriktningen mot myndigheter och offentlig förvaltning"
Kommunikatörsprogrammet,"J, Informationsträff på Humanisten","ISP, GU","chansen att specialisera mig, bredda för intagning"
Kommunikatörsprogrammet,C,"Pedagogik, GU","mer praktisk, nära kopplad till framtida yrke, relevant för mycket olika typer av jobb"
Kommunikatörsprogrammet,I,"Nordiska språk, Lund","Upplägget med praktik, att utbildningen tagits fram med regionens synpunkter"
